snapshot_date,position,rank_in_position,full_name,team_name,now_cost_millions,total_points,points_per_game,form,minutes,ict_index,selected_by_percent,avg_next3_difficulty,value_score,status,news
2026-03-10,Defender,7,Daniel Ballard,Sunderland,4.6,114,4.6,5.2,1941,111.5,3.7,3.33,34.2,a,
2026-03-10,Defender,8,James Tarkowski,Everton,5.7,136,4.7,5.0,2610,120.0,11.1,4.0,33.09,a,
2026-03-10,Defender,9,Malick Thiaw,Newcastle,5.0,105,4.0,4.8,2207,113.0,4.2,3.0,31.83,a,
2026-03-10,Defender,10,Marc Guéhi,Man City,5.2,133,4.9,3.8,2430,119.3,37.3,3.33,31.06,a,
2026-03-10,Forward,1,João Pedro Junqueira de Jesus,Chelsea,7.7,160,5.5,9.5,2140,189.4,47.4,3.33,55.63,a,
2026-03-10,Forward,2,Erling Haaland,Man City,14.6,195,7.0,4.8,2323,240.7,61.4,3.33,46.91,a,
2026-03-10,Forward,3,Jarrod Bowen,West Ham,7.5,135,4.7,5.0,2599,179.7,7.6,3.33,38.78,a,
2026-03-10,Forward,4,Igor Thiago Nascimento Rodrigues,Brentford,7.2,143,4.9,3.0,2472,199.7,34.6,2.67,35.83,a,
2026-03-10,Forward,5,Benjamin Sesko,Man Utd,7.3,89,3.7,6.5,1295,115.5,5.9,2.67,35.39,a,
2026-03-10,Forward,6,Hugo Ekitiké,Liverpool,9.1,123,4.7,4.6,1764,153.5,34.0,2.67,34.63,a,
2026-03-10,Forward,7,Raúl Jiménez Rodríguez,Fulham,6.2,97,3.5,3.8,1903,137.4,2.9,2.67,29.93,a,
2026-03-10,Forward,8,Danny Welbeck,Brighton,6.1,92,3.3,4.4,1645,111.6,3.8,3.0,28.58,a,
2026-03-10,Forward,9,Viktor Gyökeres,Arsenal,8.8,94,3.4,3.8,1859,116.5,12.1,3.67,25.02,a,
2026-03-10,Forward,10,Francisco Evanilson de Lima Barbosa,Bournemouth,6.8,87,3.2,2.8,2013,125.2,2.2,3.33,24.62,a,
2026-03-10,Goalkeeper,1,Dean Henderson,Crystal Palace,5.0,115,4.0,6.2,2610,70.1,8.1,2.33,31.62,a,
2026-03-10,Goalkeeper,2,Đorđe Petrović,Bournemouth,4.5,94,3.2,5.2,2610,65.9,5.0,3.33,26.76,a,
2026-03-10,Goalkeeper,3,Mads Hermansen,West Ham,4.2,40,4.4,5.2,810,21.2,0.4,3.33,25.3,a,
2026-03-10,Goalkeeper,4,José Malheiro de Sá,Wolves,4.2,56,3.1,5.2,1620,41.4,1.3,3.0,24.76,a,
2026-03-10,Goalkeeper,5,Gianluigi Donnarumma,Man City,5.6,102,3.9,4.2,2340,54.2,9.6,3.33,22.98,a,
2026-03-10,Goalkeeper,6,Bart Verbruggen,Brighton,4.5,91,3.1,3.4,2610,71.4,5.4,3.0,21.8,a,
2026-03-10,Goalkeeper,7,Emiliano Martínez Romero,Aston Villa,5.1,97,3.9,3.2,2205,58.4,4.4,3.0,21.3,a,
2026-03-10,Goalkeeper,8,Senne Lammens,Man Utd,5.0,72,3.1,3.8,2070,43.3,2.5,2.67,20.36,a,
2026-03-10,Goalkeeper,9,David Raya Martín,Arsenal,6.0,122,4.1,3.2,2700,46.0,34.5,3.67,19.66,a,
2026-03-10,Goalkeeper,10,Caoimhín Kelleher,Brentford,4.7,104,3.7,2.5,2520,66.4,12.3,2.67,19.14,a,
2026-03-10,Midfielder,1,Bruno Borges Fernandes,Man Utd,10.1,166,6.4,6.2,2255,269.6,40.5,2.67,54.27,a,
2026-03-10,Midfielder,2,Antoine Semenyo,Man City,8.3,172,6.1,7.0,2516,213.5,57.2,3.33,51.93,a,
2026-03-10,Midfielder,3,Bukayo Saka,Arsenal,9.8,130,5.0,5.8,1905,195.5,8.1,3.67,42.02,a,
2026-03-10,Midfielder,4,Declan Rice,Arsenal,7.4,160,5.5,5.2,2490,185.4,30.0,3.67,41.47,a,
2026-03-10,Midfielder,5,Elliot Anderson,Nott'm Forest,5.5,131,4.5,5.8,2596,165.7,7.0,2.67,40.7,a,
2026-03-10,Midfielder,6,Morgan Gibbs-White,Nott'm Forest,7.3,122,4.2,5.5,2477,175.9,3.8,2.67,39.64,a,
2026-03-10,Midfielder,7,Alex Iwobi,Fulham,6.4,91,4.0,6.8,1952,123.9,2.2,2.67,38.55,a,
2026-03-10,Midfielder,8,James Garner,Everton,5.2,129,4.4,5.0,2603,161.7,4.0,4.0,37.62,a,
2026-03-10,Midfielder,9,Carlos Henrique Casimiro,Man Utd,5.6,127,4.7,4.8,1964,145.5,2.6,2.67,36.47,a,
2026-03-10,Midfielder,10,Anton Stach,Leeds,4.7,114,4.8,4.2,1955,158.2,2.6,3.33,36.33,a,
